,value,value_no_cl,cos_month,sin_month,cos_n_week,sin_n_week,cos_weekday,sin_weekday,holiday,day_before_holiday,week_with_holiday,trm_shift_45,trm_shift_60,trm_shift_404,trm_shift_592,gt_carro,gt_moto,gt_RUNT
2018-04-07,,,-0.4999999999999998,0.8660254037844387,-0.12053668025532288,0.992708874098054,-0.2225209339563146,-0.9749279121818236,0.0,0.0,0.0,2860.3114285714287,2832.2642857142855,2890.0385714285717,2884.77,845.0,812.0,513.0
2018-04-08,,,-0.4999999999999998,0.8660254037844387,-0.12053668025532288,0.992708874098054,0.6234898018587334,-0.7818314824680299,0.0,0.0,0.0,2857.761428571429,2832.362857142857,2889.1042857142857,2885.3128571428574,754.0,829.0,323.0
2018-04-09,,,-0.4999999999999998,0.8660254037844387,-0.2393156642875575,0.9709418174260521,1.0,0.0,0.0,0.0,0.0,2861.375714285714,2831.7685714285717,2891.46,2888.2000000000003,725.0,1033.0,156.0
2018-04-10,,,-0.4999999999999998,0.8660254037844387,-0.2393156642875575,0.9709418174260521,0.6234898018587336,0.7818314824680298,0.0,0.0,0.0,2860.865714285714,2839.7842857142855,2897.488571428571,2892.7214285714285,527.0,873.0,428.0
2018-04-11,,,-0.4999999999999998,0.8660254037844387,-0.2393156642875575,0.9709418174260521,-0.22252093395631434,0.9749279121818236,0.0,0.0,0.0,2860.355714285714,2850.7228571428573,2910.237142857143,2894.9100000000003,627.0,829.0,418.0
2018-04-12,,,-0.4999999999999998,0.8660254037844387,-0.2393156642875575,0.9709418174260521,-0.900968867902419,0.43388373911755823,0.0,0.0,0.0,2859.845714285714,2861.6614285714286,2923.2242857142855,2897.098571428571,671.0,837.0,373.0
2018-04-13,,,-0.4999999999999998,0.8660254037844387,-0.2393156642875575,0.9709418174260521,-0.9009688679024191,-0.433883739117558,0.0,0.0,0.0,2859.3814285714284,2872.5999999999995,2936.2114285714283,2899.287142857143,747.0,714.0,375.0
2018-04-14,,,-0.4999999999999998,0.8660254037844387,-0.2393156642875575,0.9709418174260521,-0.2225209339563146,-0.9749279121818236,0.0,0.0,0.0,2858.5128571428572,2881.27,2949.1985714285715,2905.058571428571,796.0,956.0,194.0
2018-04-15,,,-0.4999999999999998,0.8660254037844387,-0.2393156642875575,0.9709418174260521,0.6234898018587334,-0.7818314824680299,0.0,0.0,0.0,2857.084285714286,2889.8242857142855,2959.2557142857145,2908.5899999999997,842.0,1066.0,134.0
2018-04-16,,,-0.4999999999999998,0.8660254037844387,-0.35460488704253545,0.9350162426854148,1.0,0.0,0.0,0.0,0.0,2857.371428571429,2899.095714285714,2966.8657142857146,2911.197142857143,854.0,921.0,72.0
2018-04-17,,,-0.4999999999999998,0.8660254037844387,-0.35460488704253545,0.9350162426854148,0.6234898018587336,0.7818314824680298,0.0,0.0,0.0,2861.594285714286,2897.5185714285717,2974.312857142857,2921.295714285715,980.0,702.0,144.0
2018-04-18,,,-0.4999999999999998,0.8660254037844387,-0.35460488704253545,0.9350162426854148,-0.22252093395631434,0.9749279121818236,0.0,0.0,0.0,2865.817142857143,2889.5842857142857,2980.5299999999997,2931.9914285714285,863.0,863.0,153.0
2018-04-19,,,-0.4999999999999998,0.8660254037844387,-0.35460488704253545,0.9350162426854148,-0.900968867902419,0.43388373911755823,0.0,0.0,0.0,2870.0400000000004,2881.65,2981.0157142857142,2942.687142857143,826.0,885.0,153.0
